425755,62076,58318,59042,49845,41024,39595,56192,60098,-3758,724,-9197,-8821,-1429,16597,3906,18.0,1
441192,23261,76820,79117,80595,64396,82767,70734,438127,53559,2297,1478,-16199,18371,-12033,367393,46.5,1
396641,377088,380226,240274,99582,99986,189422,190304,191189,3138,-139952,-140692,404,89436,882,885,0.5,1
390182,100201,93628,102878,99867,103452,100321,171520,168472,-6573,9250,-3011,3585,-3131,71199,-3048,18.0,0
428128,106535,111857,112401,112496,138035,113582,120609,125100,5322,544,95,25539,-24453,7027,4491,18.5,1
397153,1814725,1846103,1849000,1851782,1854857,1854867,1857523,1860354,31378,2897,2782,3075,10,2656,2831,44.5,1
425753,54281,50613,50636,50653,41388,42819,45834,45839,-3668,23,17,-9265,1431,3015,5,18.5,0
316403,748135,771083,772964,775008,777185,777361,779659,782765,22948,1881,2044,2177,176,2298,3106,48.5,1
200517,165012,166585,134317,134453,134702,134914,135161,135453,1573,-32268,136,249,212,247,292,12.5,0
390183,46531,45576,45610,45616,42850,34968,175366,172858,-955,34,6,-2766,-7882,140398,-2508,12.5,0
112438,89892,90726,87338,87417,87497,87556,87670,87791,834,-3388,79,80,59,114,121,17.0,0
331541,5292,5292,5292,5292,5292,5302,5302,5304,0,0,0,0,10,0,2,11.5,0
301046,53653,53653,53654,53656,53656,53658,53659,43353,0,1,2,0,2,1,-10306,64.5,0
198369,76360,76361,76364,76367,76369,76371,76372,76373,1,3,3,2,2,1,1,107.0,0
262569,24362,25462,25556,25556,25658,25755,25848,25943,1100,94,0,102,97,93,95,-26.5,0
428127,136833,143336,123280,123455,123880,124232,130731,131158,6503,-20056,175,425,352,6499,427,42.5,0
155473,173713,176566,176741,176872,176873,259387,260475,259972,2853,175,131,1,82514,1088,-503,64.5,0
204993,55855,35828,36504,36536,36579,36626,36671,36706,-20027,676,32,43,47,45,35,8.25,0
428124,78408,79825,82180,82281,82487,77258,77454,102637,1417,2355,101,206,-5229,196,25183,-1.5,1
301056,43691,44497,44557,44561,44683,42190,42297,42351,806,60,4,122,-2493,107,54,14.0,0
193710,111247,111339,97221,97249,97290,97326,97370,83120,92,-14118,28,41,36,44,-14250,7.5,0
428122,57704,58408,58488,58515,58676,58756,73971,74163,704,80,27,161,80,15215,192,15.0,0
429014,68756,68554,68702,68721,68857,68985,69519,69676,-202,148,19,136,128,534,157,13.5,0
426691,49877,50761,50768,50818,50866,50927,50980,51042,884,7,50,48,61,53,62,19.0,0
447563,13553,14148,14183,14187,13621,12447,12496,12531,595,35,4,-566,-1174,49,35,-1.0,0
334854,765068,770644,771046,771046,391412,391815,392256,392767,5576,402,0,-379634,403,441,511,26.0,1
337840,35205,35864,35907,35945,35948,36003,36053,36112,659,43,38,3,55,50,59,34.5,0
403470,57972,46906,45699,45723,45748,42014,44800,50822,-11066,-1207,24,25,-3734,2786,6022,9.5,1
194391,70208,70433,60925,60965,61007,61025,61123,61213,225,-9508,40,42,18,98,90,28.5,0
438126,74407,79770,80114,80140,80425,80723,81015,81255,5363,344,26,285,298,292,240,28.5,0
428121,70837,71816,71977,72040,72203,72321,72466,72596,979,161,63,163,118,145,130,41.5,0
278393,737668,745172,745744,745756,746364,746961,747457,747919,7504,572,12,608,597,496,462,34.5,0
278395,475700,479450,262268,262276,262585,262879,263135,263382,3750,-217182,8,309,294,256,247,37.0,0
386711,840207,857680,858569,858570,859522,861079,862170,863442,17473,889,1,952,1557,1091,1272,29.0,1
309832,24918,16857,24416,18579,20640,13187,17200,14724,-8061,7559,-5837,2061,-7453,4013,-2476,44.0,0
378770,41668,36991,40352,40362,23105,23153,23248,23305,-4677,3361,10,-17257,48,95,57,16.0,0
441930,133991,70273,53184,53276,53412,53558,53138,53296,-63718,-17089,92,136,146,-420,158,30.5,0
337859,2732,2770,2405,5991,2436,2713,6410,2837,38,-365,3586,-3555,277,3697,-3573,45.0,0
192808,9643,10004,10017,10019,10021,10014,10045,10057,361,13,2,2,-7,31,12,-14.0,0
447836,420155,525983,593530,598819,532022,477755,549361,557023,105828,67547,5289,-66797,-54267,71606,7662,10.5,1
418208,1292,1124,3024,2825,8124,8511,8522,8535,-168,1900,-199,5299,387,11,13,18.5,0
400796,64504,67642,68167,68213,68493,68713,69053,69273,3138,525,46,280,220,340,220,-12.5,0
303506,4643,4643,4643,4644,4645,4645,4645,4645,0,0,1,1,0,0,0,27.0,0
295492,43118,43131,42637,43079,43362,43383,20823,20885,13,-494,442,283,21,-22560,62,31.5,0
447760,3827,3833,3670,3673,3676,3689,3693,3693,6,-163,3,3,13,4,0,-34.5,0
433524,208602,208644,208645,208651,210104,210743,237710,251092,42,1,6,1453,639,26967,13382,19.0,1
429723,14698,12052,11690,15167,5238,4346,11876,11899,-2646,-362,3477,-9929,-892,7530,23,12.5,0
278402,75466,76493,76519,76524,76574,76574,76682,76721,1027,26,5,50,0,108,39,-16.0,0
428113,134454,136858,137470,137656,148611,149200,149588,149529,2404,612,186,10955,589,388,-59,-5.0,0
130296,72623,72831,72882,72889,72926,72992,73076,73154,208,51,7,37,66,84,78,14.5,0
331271,3329,1876,1876,1876,1876,1876,1814,1814,-1453,0,0,0,0,-62,0,28.5,0
401811,1818,1834,1461,1474,1873,9390,9705,9742,16,-373,13,399,7517,315,37,3.0,0
428135,98930,99007,99025,99041,99051,99104,99121,55247,77,18,16,10,53,17,-43874,30.5,0
329956,12865,6091,5165,5110,4173,5381,5389,4382,-6774,-926,-55,-937,1208,8,-1007,7.0,0
342535,34428,34417,34068,33368,33368,33369,34093,33823,-11,-349,-700,0,1,724,-270,24.0,0
