429015,0,3,-2.0,8.0,1,5.0,4.0,-2.0,5.0,16.0,7.0,45.0
429492,0,-1.0,-3.0,4,8.0,3.0,4.0,-3.0,6.0,-10.25,3.5,11.25
429723,0,2.5,5.0,-18.0,3.0,3,-2.5,2.0,9.0,8.5,0,12.5
431428,0,-3.0,-8,-1,4.5,5,1,2,4.5,3.0,-1,7.0
431449,0,0,-7.5,1,8.0,3.0,7.5,-1,5.5,6,2,24.5
431450,0,5.0,25.0,-6.0,6.0,-3.0,9.0,9.0,4.0,4.0,8.5,61.5
431748,0,-2,4.5,6.0,2,1,1,0.5,10.5,1,-3.0,21.5
433524,0,9.5,1,0.0,3.0,-2,1.5,-1.0,4,5.0,-2.0,19.0
438126,0,7.0,1,1,0,1,6,-4,3,6.0,7.5,28.5
441192,0,8.0,-1,11.0,-3.0,5.0,6.0,13.0,4.5,3,0,46.5
441930,0,6.0,12.0,-2.0,8.5,-8,6.0,0,-1.0,3.0,6.0,30.5
442757,0,1.5,6.0,19.0,4.0,-9.25,10.0,5.0,-1.0,0,4.0,39.25
447563,0,10.0,4.0,-7.0,-1.0,0,-4.0,5,-1,-3,-4.0,-1.0
447740,0,10.0,-0.5,-13.5,7,0,-2,-1.0,5.0,3.0,-1,7.0
447760,0,-21.5,-1.0,-2.0,-5.0,-10.5,3.0,-1.0,1,0,2.5,-34.5
447836,0,7.5,0,0,5.0,2,3.0,3,-3,-3,-4.0,10.5
448987,0,11.0,6.0,-1,5.0,0.0,10.5,9.5,3.5,7,-2.0,49.5
